,T1,T2,Q1,time,run
384,54.414,46.357,0.0,1684955787.983314,0.0
385,54.092,46.357,0.0,1684955789.1760545,0.0
386,53.77,46.261,0.0,1684955790.3683407,0.0
387,53.447,46.229,0.0,1684955791.5610905,0.0
388,53.383,46.035,0.0,1684955792.7535815,0.0
389,53.125,46.035,0.0,1684955793.946002,0.0
390,52.803,46.003,0.0,1684955795.1387799,0.0
391,52.48,45.874,0.0,1684955796.461237,0.0
392,52.384,45.713,0.0,1684955797.653631,0.0
393,52.158,45.713,0.0,1684955798.8461823,0.0
394,51.836,45.713,0.0,1684955800.0389936,0.0
395,51.514,45.423,0.0,1684955801.23168,0.0
396,51.385,45.391,0.0,1684955802.4239838,0.0
397,51.191,45.358,0.0,1684955803.6165783,0.0
398,50.869,45.068,0.0,1684955804.809266,0.0
399,50.547,45.068,0.0,1684955806.0019436,0.0
400,50.547,45.068,0.0,1684955807.1941233,0.0
401,50.225,44.939,0.0,1684955808.3863664,0.0
402,49.902,44.746,0.0,1684955809.5832274,0.0
403,49.902,44.746,0.0,1684955810.7709064,0.0
404,49.58,44.746,0.0,1684955811.971548,0.0
405,49.258,44.456,0.0,1684955813.1717584,0.0
406,49.226,44.424,0.0,1684955814.3593957,0.0
407,48.936,44.424,0.0,1684955815.5600405,0.0
408,48.613,44.134,0.0,1684955816.7475405,0.0
409,48.42,44.102,0.0,1684955817.9483945,0.0
410,48.291,44.005,0.0,1684955819.1483476,0.0
411,47.969,43.779,0.0,1684955820.3362262,0.0
412,47.969,43.779,0.0,1684955821.5237658,0.0
413,47.646,43.683,0.0,1684955822.7117832,0.0
414,47.324,43.457,0.0,1684955823.912283,0.0
415,47.324,43.457,0.0,1684955825.1124682,0.0
416,47.002,43.425,0.0,1684955826.3130486,0.0
417,47.002,43.135,0.0,1684955827.5010097,0.0
418,46.68,43.135,0.0,1684955828.7015297,0.0
419,46.615,43.135,0.0,1684955829.888764,0.0
420,46.357,42.813,0.0,1684955831.076507,0.0
421,46.067,42.813,0.0,1684955832.412395,0.0
422,46.035,42.813,0.0,1684955833.6004212,0.0
423,45.713,42.748,0.0,1684955834.8010824,0.0
424,45.648,42.49,0.0,1684955835.988548,0.0
425,45.391,42.49,0.0,1684955837.1890352,0.0
426,45.326,42.426,0.0,1684955838.3895035,0.0
427,45.068,42.168,0.0,1684955839.589963,0.0
428,44.972,42.168,0.0,1684955840.7778797,0.0
429,44.746,42.071,0.0,1684955841.9780242,0.0
430,44.682,41.846,0.0,1684955843.178566,0.0
431,44.424,41.846,0.0,1684955844.379063,0.0
432,44.295,41.846,0.0,1684955845.5667915,0.0
433,44.102,41.685,0.0,1684955846.7547436,0.0
434,43.812,41.523,0.0,1684955847.955332,0.0
435,43.779,41.523,0.0,1684955849.156143,0.0
436,43.521,41.491,0.0,1684955850.3563445,0.0
437,43.457,41.201,0.0,1684955851.5438747,0.0
438,43.135,41.201,0.0,1684955852.73144,0.0
439,43.135,41.169,0.0,1684955853.9192872,0.0
440,42.845,40.879,0.0,1684955855.1197877,0.0
441,42.813,40.879,0.0,1684955856.3203697,0.0
442,42.651,40.782,0.0,1684955857.5081518,0.0
443,42.49,40.557,0.0,1684955858.695983,0.0
444,42.168,40.557,0.0,1684955859.8964322,0.0
445,42.168,40.428,0.0,1684955861.0839298,0.0
446,41.846,40.234,0.0,1684955862.271617,0.0
447,41.846,40.234,0.0,1684955863.4592526,0.0
448,41.523,40.041,0.0,1684955864.6596658,0.0
449,41.523,39.912,0.0,1684955865.8476665,0.0
450,41.201,39.912,0.0,1684955867.0482213,0.0
451,41.201,39.815,0.0,1684955868.3842092,0.0
452,40.943,39.59,0.0,1684955869.5718136,0.0
453,40.879,39.59,0.0,1684955870.7597136,0.0
454,40.879,39.59,0.0,1684955871.960211,0.0
455,40.557,39.268,0.0,1684955873.160427,0.0
456,40.557,39.268,0.0,1684955874.348017,0.0
457,40.234,39.268,0.0,1684955875.5360413,0.0
458,40.234,39.268,0.0,1684955876.7361813,0.0
459,39.977,38.945,0.0,1684955877.9369247,0.0
460,39.912,38.945,0.0,1684955879.1373708,0.0
461,39.848,38.945,0.0,1684955880.3251371,0.0
462,39.59,38.623,0.0,1684955881.5258675,0.0
463,39.59,38.623,0.0,1684955882.726175,0.0
464,39.268,38.623,0.0,1684955883.9269116,0.0
465,39.268,38.623,0.0,1684955885.1270914,0.0
466,39.139,38.333,0.0,1684955886.3277452,0.0
467,38.945,38.301,0.0,1684955887.528237,0.0
468,38.945,38.236,0.0,1684955888.728685,0.0
469,38.655,38.075,0.0,1684955889.9295766,0.0
470,38.623,37.979,0.0,1684955891.130096,0.0
471,38.623,37.979,0.0,1684955892.330199,0.0
472,38.301,37.946,0.0,1684955893.5308542,0.0
473,38.301,37.721,0.0,1684955894.71857,0.0
474,38.236,37.721,0.0,1684955895.9192693,0.0
475,37.979,37.656,0.0,1684955897.1197312,0.0
476,37.979,37.656,0.0,1684955898.3201594,0.0
477,37.914,37.463,0.0,1684955899.5206182,0.0
478,37.656,37.334,0.0,1684955900.70845,0.0
479,37.656,37.334,0.0,1684955901.9091887,0.0
480,37.624,37.334,0.0,1684955903.096761,0.0
481,37.334,37.27,0.0,1684955904.4325242,0.0
482,37.334,37.012,0.0,1684955905.6330662,0.0
483,37.334,37.012,0.0,1684955906.820763,0.0
484,37.076,37.012,0.0,1684955908.0212746,0.0
485,37.012,36.979,0.0,1684955909.2093136,0.0
486,37.012,36.786,0.0,1684955910.4093678,0.0
487,36.915,36.689,0.0,1684955911.5971,0.0
488,36.689,36.689,0.0,1684955912.785162,0.0
489,36.689,36.689,0.0,1684955913.9855814,0.0
490,36.657,36.464,0.0,1684955915.1859174,0.0
491,36.464,36.367,0.0,1684955916.373486,0.0
492,36.367,36.367,0.0,1684955917.5612555,0.0
493,36.367,36.367,0.0,1684955918.7487183,0.0
494,36.335,36.335,0.0,1684955919.9365091,0.0
495,36.045,36.077,0.0,1684955921.124496,0.0
496,36.045,36.045,0.0,1684955922.3119853,0.0
497,36.045,36.045,0.0,1684955923.5123389,0.0
498,35.723,35.723,0.0,1684955924.6999166,0.0
499,35.723,35.723,0.0,1684955925.8875737,0.0
500,35.723,35.723,0.0,1684955927.0751903,0.0
501,35.626,35.723,0.0,1684955928.2629128,0.0
502,35.4,35.4,0.0,1684955929.4505932,0.0
503,35.4,35.4,0.0,1684955930.6385643,0.0
504,35.4,35.336,0.0,1684955931.83917,0.0
505,35.207,35.4,0.0,1684955933.0398479,0.0
506,35.078,35.4,0.0,1684955934.2400856,0.0
507,35.078,35.143,0.0,1684955935.4276762,0.0
508,35.078,35.078,0.0,1684955936.6282022,0.0
509,34.756,34.981,0.0,1684955937.8286896,0.0
510,34.756,35.078,0.0,1684955939.0162983,0.0
511,34.756,34.981,0.0,1684955940.3395689,0.0
512,34.756,34.756,0.0,1684955941.527289,0.0
513,34.691,34.756,0.0,1684955942.7150216,0.0
514,34.434,34.756,0.0,1684955943.915798,0.0
515,34.434,34.756,0.0,1684955945.1163182,0.0
516,34.434,34.466,0.0,1684955946.3167043,0.0
517,34.272,34.434,0.0,1684955947.5170834,0.0
518,34.111,34.434,0.0,1684955948.7178483,0.0
519,34.111,34.401,0.0,1684955949.9181132,0.0
520,34.111,34.144,0.0,1684955951.1184938,0.0
